Name,Example Yellow_striped_flounder2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Name,Magarei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Pleuronectes herzensteini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Hokkaido-Ohotsuku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Historical Year,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Previous TAC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Previous TAE,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nareas,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum age,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,0.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Von Bertalanffy Linf parameter,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV von B. Linf parameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Von Bertalanffy K parameter,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV von B. K parameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Von Bertalanffy t0 parameter,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV von B. t0 parameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length-weight parameter a,0.000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Length-weight parameter a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length-weight parameter b,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Length-weight parameter b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steepness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Steepness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sigmaR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV sigmaR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length at 50% maturity,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Length at 50% maturity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length at 95% maturity,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV of length-at-age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length at first capture,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Length at first capture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length at full selection,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Length at full selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vulnerability at asymptotic length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Catch,2000,3204,2259,1596,1940,2455,2354,2372,2852,2444,2473,3479,3946,4037,3194,2997,3145,2346,2391,3651,3273,2445,2357,2965,3356,2290,2002,2231,2852,1553,1676,1484,1862,2404,1799,1800,1700,1650,1625,1490
CV Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Effort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abundance index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Abundance index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spawning Abundance index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Spawning Abundance index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vulnerable Abundance index,NA,0.984006093,0.932216299,0.621477532,0.535161208,0.586951003,0.509266311,0.371160193,0.776846915,0.621477532,0.837268342,0.802741813,1.337903021,1.199796903,0.949479563,0.776846915,1.363797918,0.699162224,0.630109165,0.932216299,1.122112211,0.863163239,1.346534653,1.398324448,1.286113227,1.018532622,0.733688753,1.148007108,1.320639756,0.725057121,1.165270373,1.251586697,1.476009139,2.028433613,1.648641787,1.45,1.35,1.28,1.32,1.22
CV Vulnerable Abundance index,NA,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Index 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Index 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vuln Index 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
