Year,Catch,Index
1950,3646,NA
1951,2581,NA
1952,2993,NA
1953,3303,NA
1954,3034,NA
1955,3502,NA
1956,3358,NA
1957,4578,NA
1958,4904,NA
1959,6232,NA
1960,3828,NA
1961,4381,NA
1962,5342,NA
1963,10190,1052.1
1964,11258,380.1
1965,8652,239.82
1966,9349,228.69
1967,9107,277.85
1968,9172,219.89
1969,9203,196.51
1970,9495,219.17
1971,5266,NA
1972,4766,NA
1973,6074,NA
1974,6362,NA
1975,8839,350.1
1976,6696,308.85
1977,6409,337.25
1978,11835,445.01
1979,11937,315.79
1980,13558,252.23
1981,11180,230.6
1982,13215,283.36
1983,14527,222.28
1984,12791,212.64
1985,14383,203.26
1986,18486,195.33
1987,20236,177.2
1988,19513,178.25
1989,17250,171.13
1990,15672,167.35
1991,14934,172.48
1992,15394,152.36
1993,16717,137.05
1994,15475,124.16
1995,16844,135.09
1996,15172,108.95
1997,12997,115.95
1998,12195,117.7
1999,11590,139.77
2000,11439,156.87
2001,10011,144.35
2002,9654,156.1
2003,11464,146.24
2004,12265,153.53
2005,12143,168.26
